,Date,Month,Time,Day,DeliveryTime,DeliveryTimeSlot,BillAmount,NoOfItems
0,2023-01-02,Feb,Morning,Wed,19,16-20,360,9
1,2023-02-02,Feb,Afternoon,Thu,20,16-20,2100,19
2,2023-03-02,Feb,Afternoon,Fri,14,<=15,497,6
3,2023-05-02,Feb,Evening,Sun,24,21-25,484,3
4,2023-08-02,Feb,Evening,Wed,14,<=15,204,4
5,2023-08-02,Feb,Morning,Wed,12,<=15,178,5
6,2023-11-02,Feb,Afternoon,Sat,16,16-20,1992,8
7,2023-02-16,Feb,Morning,Thu,10,<=15,268,8
8,2023-02-17,Feb,Afternoon,Fri,15,<=15,335,6
9,2023-02-22,Feb,Morning,Wed,11,<=15,767,6
10,2023-02-24,Feb,Morning,Fri,16,16-20,291,4
11,2023-02-25,Feb,Afternoon,Sat,12,<=15,1681,6
12,2023-02-03,Mar,Morning,Thu,14,<=15,176,4
13,2023-02-03,Mar,Evening,Thu,25,21-25,181,4
14,2023-05-03,Mar,Evening,Sun,20,16-20,1702,10
15,2023-07-03,Mar,Morning,Tue,25,21-25,602,6
16,2023-08-03,Mar,Evening,Wed,25,21-25,287,5
17,2023-09-03,Mar,Afternoon,Thu,14,<=15,466,10
18,2023-03-15,Mar,Morning,Wed,12,<=15,323,6
19,2023-03-15,Mar,Afternoon,Wed,15,<=15,187,5
20,2023-03-18,Mar,Morning,Sat,15,<=15,296,5
21,2023-03-19,Mar,Afternoon,Sun,47,>40,1741,12
22,2023-03-21,Mar,Morning,Tue,17,16-20,393,7
23,2023-03-25,Mar,Morning,Sat,14,<=15,326,5
24,2023-03-26,Mar,Night,Sun,43,>40,377,2
25,2023-03-31,Mar,Afternoon,Fri,17,16-20,1505,15
26,2023-03-04,Apr,Evening,Mon,24,21-25,888,3
27,2023-06-04,Apr,Night,Thu,56,>40,602,3
28,2023-07-04,Apr,Afternoon,Fri,14,<=15,897,4
29,2023-12-04,Apr,Evening,Wed,23,21-25,641,12
30,2023-04-19,Apr,Morning,Wed,25,21-25,518,5
31,2023-04-22,Apr,Morning,Sat,31,31-35,434,6
32,2023-04-25,Apr,Morning,Tue,18,16-20,1068,7
33,2023-04-26,Apr,Afternoon,Wed,14,<=15,591,3
34,2023-04-27,Apr,Afternoon,Thu,18,16-20,552,8
35,2023-03-05,May,Morning,Wed,24,21-25,393,5
36,2023-04-05,May,Evening,Thu,21,21-25,525,11
37,2023-10-05,May,Night,Wed,46,>40,604,11
38,2023-05-26,May,Morning,Fri,18,16-20,499,7
39,2023-05-26,May,Evening,Fri,42,>40,704,3
40,2023-05-28,May,Afternoon,Sun,22,21-25,862,3
41,2023-02-06,Jun,Morning,Fri,18,16-20,1975,7
42,2023-02-06,Jun,Evening,Fri,16,16-20,172,2
43,2023-05-06,Jun,Evening,Mon,25,21-25,528,6
44,2023-08-06,Jun,Morning,Thu,37,36-40,358,8
45,2023-10-06,Jun,Morning,Sat,34,31-35,726,8
46,2023-11-06,Jun,Afternoon,Sun,38,36-40,1451,6
47,2023-06-14,Jun,Morning,Wed,14,<=15,372,4
48,2023-06-16,Jun,Evening,Fri,18,16-20,484,6
49,2023-06-19,Jun,Night,Mon,21,21-25,533,8
50,2023-06-22,Jun,Afternoon,Thu,17,16-20,650,9
51,2023-06-24,Jun,Afternoon,Sat,21,21-25,777,14
52,2023-06-27,Jun,Morning,Tue,17,16-20,289,5
53,2023-06-28,Jun,Evening,Wed,30,26-30,538,3
54,2023-01-07,Jul,Night,Sat,22,21-25,886,3
55,2023-07-07,Jul,Morning,Fri,35,31-35,692,6
56,2023-09-07,Jul,Morning,Sun,14,<=15,951,8
57,2023-11-07,Jul,Afternoon,Tue,17,16-20,181,3
58,2023-11-07,Jul,Afternoon,Tue,13,<=15,771,3
59,2023-07-14,Jul,Morning,Fri,16,16-20,1557,6
60,2023-07-18,Jul,Morning,Tue,31,31-35,1933,9
61,2023-07-18,Jul,Afternoon,Tue,13,<=15,176,1
62,2023-07-19,Jul,Evening,Wed,19,16-20,560,7
63,2023-07-21,Jul,Morning,Fri,12,<=15,648,6
64,2023-07-28,Jul,Afternoon,Fri,31,31-35,922,11
65,2023-07-29,Jul,Morning,Sat,18,16-20,1014,6
